"well","value","type","plate","replicate","pct_effect"
"1","J1",4271.232,"0.2ng/ml IL15","13","a",9.88803257234259
"2","K1",16781.632,"10ng/ml IL15","13","a",74.8582230623819
"3","M1",1471.232,"0.2ng/ml IL15","13","a",-4.65319179874945
"4","N1",23882.432,"10ng/ml IL15","13","a",111.734768067471
"5","J2",1650.432,"0.2ng/ml IL15","13","a",-3.72255343899956
"6","K2",23580.032,"10ng/ml IL15","13","a",110.164315835393
"7","M2",2076.032,"0.2ng/ml IL15","13","a",-1.51228733459357
"8","N2",22247.232,"10ng/ml IL15","13","a",103.242693034754
"9","A3",1493.632,"drug","13","a",-4.53686200378072
"10","B3",1336.832,"drug","13","a",-5.35117056856187
"11","C3",485.632,"drug","13","a",-9.77170277737385
"12","D3",653.632,"drug","13","a",-8.89922931510833
"13","E3",1090.432,"drug","13","a",-6.63079831321797
"14","F3",1303.232,"drug","13","a",-5.52566526101498
"15","G3",1527.232,"drug","13","a",-4.36236731132761
"16","H3",1124.032,"drug","13","a",-6.45630362076487
"17","I3",1303.232,"drug","13","a",-5.52566526101498
"18","J3",821.632,"drug","13","a",-8.02675585284281
"19","K3",2132.032,"drug","13","a",-1.22146284717173
"20","L3",1628.032,"drug","13","a",-3.8388832339683
"21","M3",1885.632,"drug","13","a",-2.50109059182783
"22","N3",1493.632,"drug","13","a",-4.53686200378072
"23","O3",1840.832,"drug","13","a",-2.7337501817653
"24","P3",1863.232,"drug","13","a",-2.61742038679657
"25","A4",944.832,"drug","13","a",-7.38694198051476
"26","B4",586.432,"drug","13","a",-9.24821870001454
"27","C4",1034.432,"drug","13","a",-6.92162280063981
"28","D4",1415.232,"drug","13","a",-4.9440162861713
"29","E4",1583.232,"drug","13","a",-4.07154282390577
"30","F4",1292.032,"drug","13","a",-5.58383015849935
"31","G4",1157.632,"drug","13","a",-6.28180892831176
"32","H4",1885.632,"drug","13","a",-2.50109059182783
"33","I4",261.632,"drug","13","a",-10.9350007270612
"34","J4",2154.432,"drug","13","a",-1.105133052203
"35","K4",2277.632,"drug","13","a",-0.465319179874945
"36","L4",1784.832,"drug","13","a",-3.02457466918714
"37","M4",1527.232,"drug","13","a",-4.36236731132761
"38","N4",3218.432,"drug","13","a",4.42053220881198
"39","O4",2815.232,"drug","13","a",2.32659589937473
"40","P4",1325.632,"drug","13","a",-5.40933546604624
"41","A5",1426.432,"drug","13","a",-4.88585138868693
"42","B5",1213.632,"drug","13","a",-5.99098444088992
"43","C5",810.432,"drug","13","a",-8.08492075032718
"44","D5",1157.632,"drug","13","a",-6.28180892831176
"45","E5",1538.432,"drug","13","a",-4.30420241384325
"46","F5",1583.232,"drug","13","a",-4.07154282390577
"47","G5",1784.832,"drug","13","a",-3.02457466918714
"48","H5",2064.832,"drug","13","a",-1.57045223207794
"49","I5",1762.432,"drug","13","a",-3.14090446415588
"50","J5",2826.432,"drug","13","a",2.38476079685909
"51","K5",2143.232,"drug","13","a",-1.16329794968736
"52","L5",2188.032,"drug","13","a",-0.93063835974989
"53","M5",1964.032,"drug","13","a",-2.09393630943725
"54","N5",1616.832,"drug","13","a",-3.89704813145267
"55","O5",1415.232,"drug","13","a",-4.9440162861713
"56","P5",1572.032,"drug","13","a",-4.12970772139014
"57","A6",687.232,"drug","13","a",-8.72473462265523
"58","B6",1504.832,"drug","13","a",-4.47869710629635
"59","C6",1045.632,"drug","13","a",-6.86345790315544
"60","D6",1090.432,"drug","13","a",-6.63079831321797
"61","E6",1527.232,"drug","13","a",-4.36236731132761
"62","F6",2624.832,"drug","13","a",1.33779264214047
"63","G6",978.432,"drug","13","a",-7.21244728806165
"64","H6",1404.032,"drug","13","a",-5.00218118365566
"65","I6",2098.432,"drug","13","a",-1.39595753962484
"66","J6",2300.032,"drug","13","a",-0.348989384906208
"67","K6",2479.232,"drug","13","a",0.581648974843682
"68","L6",2781.632,"drug","13","a",2.15210120692162
"69","M6",2434.432,"drug","13","a",0.348989384906208
"70","N6",1986.432,"drug","13","a",-1.97760651446852
"71","O6",2188.032,"drug","13","a",-0.93063835974989
"72","P6",1773.632,"drug","13","a",-3.08273956667151
"73","A7",1314.432,"drug","13","a",-5.46750036353061
"74","B7",1672.832,"drug","13","a",-3.60622364403083
"75","C7",1068.032,"drug","13","a",-6.74712810818671
"76","D7",1728.832,"drug","13","a",-3.31539915660899
"77","E7",866.432,"drug","13","a",-7.79409626290534
"78","F7",1594.432,"drug","13","a",-4.0133779264214
"79","G7",1437.632,"drug","13","a",-4.82768649120256
"80","H7",2210.432,"drug","13","a",-0.814308564781155
"81","I7",1661.632,"drug","13","a",-3.66438854151519
"82","J7",2624.832,"drug","13","a",1.33779264214047
"83","K7",1717.632,"drug","13","a",-3.37356405409335
"84","L7",2098.432,"drug","13","a",-1.39595753962484
"85","M7",2333.632,"drug","13","a",-0.174494692453104
"86","N7",2109.632,"drug","13","a",-1.33779264214047
"87","O7",2479.232,"drug","13","a",0.581648974843682
"88","P7",1516.032,"drug","13","a",-4.42053220881198
"89","A8",1628.032,"drug","13","a",-3.8388832339683
"90","B8",1370.432,"drug","13","a",-5.17667587610877
"91","C8",1930.432,"drug","13","a",-2.26843100189036
"92","D8",1213.632,"drug","13","a",-5.99098444088992
"93","E8",1572.032,"drug","13","a",-4.12970772139014
"94","F8",384.832,"drug","13","a",-10.2951868547332
"95","G8",1572.032,"drug","13","a",-4.12970772139014
"96","H8",1068.032,"drug","13","a",-6.74712810818671
"97","I8",1840.832,"drug","13","a",-2.7337501817653
"98","J8",1101.632,"drug","13","a",-6.5726334157336
"99","K8",3128.832,"drug","13","a",3.95521302893704
"100","L8",1706.432,"drug","13","a",-3.43172895157772
"101","M8",698.432,"drug","13","a",-8.66656972517086
"102","N8",12525.632,"drug","13","a",52.7555620183219
"103","O8",2132.032,"drug","13","a",-1.22146284717173
"104","P8",1224.832,"drug","13","a",-5.93281954340555
"105","A9",1471.232,"drug","13","a",-4.65319179874945
"106","B9",1168.832,"drug","13","a",-6.22364403082739
"107","C9",93.632,"drug","13","a",-11.8074741893267
"108","D9",1269.632,"drug","13","a",-5.70015995346808
"109","E9",1247.232,"drug","13","a",-5.81648974843682
"110","F9",1818.432,"drug","13","a",-2.85007997673404
"111","G9",1796.032,"drug","13","a",-2.96640977170278
"112","H9",1224.832,"drug","13","a",-5.93281954340555
"113","I9",2524.032,"drug","13","a",0.814308564781155
"114","J9",2647.232,"drug","13","a",1.4541224371092
"115","K9",1493.632,"drug","13","a",-4.53686200378072
"116","L9",2893.632,"drug","13","a",2.73375018176531
"117","M9",3610.432,"drug","13","a",6.45630362076487
"118","N9",1583.232,"drug","13","a",-4.07154282390577
"119","O9",1549.632,"drug","13","a",-4.24603751635888
"120","P9",1549.632,"drug","13","a",-4.24603751635888
"121","A10",1628.032,"drug","13","a",-3.8388832339683
"122","B10",508.032,"drug","13","a",-9.65537298240512
"123","C10",1012.032,"drug","13","a",-7.03795259560855
"124","D10",1034.432,"drug","13","a",-6.92162280063981
"125","E10",2255.232,"drug","13","a",-0.581648974843682
"126","F10",1224.832,"drug","13","a",-5.93281954340555
"127","G10",1751.232,"drug","13","a",-3.19906936164025
"128","H10",1695.232,"drug","13","a",-3.48989384906209
"129","I10",1852.032,"drug","13","a",-2.67558528428094
"130","J10",2568.832,"drug","13","a",1.04696815471863
"131","K10",3162.432,"drug","13","a",4.12970772139014
"132","L10",4148.032,"drug","13","a",9.24821870001454
"133","M10",2400.832,"drug","13","a",0.174494692453104
"134","N10",911.232,"drug","13","a",-7.56143667296786
"135","O10",3509.632,"drug","13","a",5.93281954340555
"136","P10",1292.032,"drug","13","a",-5.58383015849935
"137","A11",1852.032,"drug","13","a",-2.67558528428094
"138","B11",799.232,"drug","13","a",-8.14308564781154
"139","C11",1482.432,"drug","13","a",-4.59502690126509
"140","D11",1504.832,"drug","13","a",-4.47869710629635
"141","E11",1426.432,"drug","13","a",-4.88585138868693
"142","F11",452.032,"drug","13","a",-9.94619746982696
"143","G11",1392.832,"drug","13","a",-5.06034608114003
"144","H11",1101.632,"drug","13","a",-6.5726334157336
"145","I11",2087.232,"drug","13","a",-1.4541224371092
"146","J11",3162.432,"drug","13","a",4.12970772139014
"147","K11",2938.432,"drug","13","a",2.96640977170278
"148","L11",2524.032,"drug","13","a",0.814308564781155
"149","M11",2916.032,"drug","13","a",2.85007997673404
"150","N11",1796.032,"drug","13","a",-2.96640977170278
"151","O11",2165.632,"drug","13","a",-1.04696815471863
"152","P11",1538.432,"drug","13","a",-4.30420241384325
"153","A12",1415.232,"drug","13","a",-4.9440162861713
"154","B12",1460.032,"drug","13","a",-4.71135669623382
"155","C12",989.632,"drug","13","a",-7.15428239057729
"156","D12",2199.232,"drug","13","a",-0.872473462265523
"157","E12",2300.032,"drug","13","a",-0.348989384906208
