"well","value","type","plate","replicate","pct_effect"
"1","J1",1612.9464,"0.2ng/ml IL15","3","b",3.28703703703704
"2","K1",15025.596,"10ng/ml IL15","3","b",90.1388888888889
"3","M1",1155.372,"0.2ng/ml IL15","3","b",0.324074074074074
"4","N1",19915.9224,"10ng/ml IL15","3","b",121.805555555556
"5","J2",793.1256,"0.2ng/ml IL15","3","b",-2.02160493827161
"6","K2",15874.0152,"10ng/ml IL15","3","b",95.6327160493827
"7","M2",859.8552,"0.2ng/ml IL15","3","b",-1.58950617283951
"8","N2",15378.3096,"10ng/ml IL15","3","b",92.4228395061728
"9","A3",2242.1112,"drug","3","b",7.36111111111111
"10","B3",1393.692,"drug","3","b",1.86728395061728
"11","C3",821.724,"drug","3","b",-1.83641975308642
"12","D3",364.1496,"drug","3","b",-4.79938271604938
"13","E3",802.6584,"drug","3","b",-1.95987654320988
"14","F3",869.388,"drug","3","b",-1.52777777777778
"15","G3",888.4536,"drug","3","b",-1.40432098765432
"16","H3",1031.4456,"drug","3","b",-0.478395061728396
"17","I3",602.4696,"drug","3","b",-3.25617283950617
"18","J3",888.4536,"drug","3","b",-1.40432098765432
"19","K3",888.4536,"drug","3","b",-1.40432098765432
"20","L3",1060.044,"drug","3","b",-0.29320987654321
"21","M3",1098.1752,"drug","3","b",-0.0462962962962975
"22","N3",1527.1512,"drug","3","b",2.73148148148148
"23","O3",812.1912,"drug","3","b",-1.89814814814815
"24","P3",1546.2168,"drug","3","b",2.85493827160494
"25","A4",2242.1112,"drug","3","b",7.36111111111111
"26","B4",993.3144,"drug","3","b",-0.725308641975309
"27","C4",1164.9048,"drug","3","b",0.385802469135802
"28","D4",669.1992,"drug","3","b",-2.82407407407407
"29","E4",726.396,"drug","3","b",-2.4537037037037
"30","F4",659.6664,"drug","3","b",-2.8858024691358
"31","G4",831.2568,"drug","3","b",-1.77469135802469
"32","H4",783.5928,"drug","3","b",-2.08333333333333
"33","I4",1193.5032,"drug","3","b",0.570987654320988
"34","J4",535.74,"drug","3","b",-3.68827160493827
"35","K4",812.1912,"drug","3","b",-1.89814814814815
"36","L4",640.6008,"drug","3","b",-3.00925925925926
"37","M4",926.5848,"drug","3","b",-1.15740740740741
"38","N4",955.1832,"drug","3","b",-0.972222222222222
"39","O4",1031.4456,"drug","3","b",-0.478395061728396
"40","P4",1288.8312,"drug","3","b",1.18827160493827
"41","A5",1260.2328,"drug","3","b",1.00308641975309
"42","B5",859.8552,"drug","3","b",-1.58950617283951
"43","C5",1183.9704,"drug","3","b",0.509259259259258
"44","D5",945.6504,"drug","3","b",-1.03395061728395
"45","E5",1098.1752,"drug","3","b",-0.0462962962962975
"46","F5",821.724,"drug","3","b",-1.83641975308642
"47","G5",669.1992,"drug","3","b",-2.82407407407407
"48","H5",812.1912,"drug","3","b",-1.89814814814815
"49","I5",707.3304,"drug","3","b",-2.57716049382716
"50","J5",592.9368,"drug","3","b",-3.3179012345679
"51","K5",774.06,"drug","3","b",-2.14506172839506
